+=========================+=========================+===============================================================================================================================+
| Launch Setup Clock      | Launch Hold Clock       | Pin                                                                                                                           |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_l_reg_reg[5]/CE                |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_l_reg_reg[1]/CE                |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_l_reg_reg[28]/CE               |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_l_reg_reg[31]/CE               |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_l_reg_reg[0]/CE                |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_e_reg_reg[26]/CE               |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_e_reg_reg[27]/CE               |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_e_reg_reg[12]/CE               |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_e_reg_reg[13]/CE               |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_e_reg_reg[8]/CE                |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/energy_e_reg_reg[9]/CE                |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[0]/CE              |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[10]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[6]/CE              |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[18]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[11]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[12]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[13]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[8]/CE              |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[19]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[9]/CE              |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[14]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[4]/CE              |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[16]/CE             |
| clk_out1_DB_clk_wiz_0_0 | clk_out1_DB_clk_wiz_0_0 | DB_i/YK71_Tracker_AXI_0/U0/YK71_Tracker_AXI_slave_lite_v1_0_S00_AXI_inst/YK71_Core_Inst/target_pos_out_reg[15]/CE             |
